time,value,datetime
14:12:00,73,2025-10-02 14:12:00-04:00
14:13:00,74,2025-10-02 14:13:00-04:00
14:14:00,89,2025-10-02 14:14:00-04:00
14:15:00,72,2025-10-02 14:15:00-04:00
14:16:00,80,2025-10-02 14:16:00-04:00
14:17:00,82,2025-10-02 14:17:00-04:00
14:18:00,82,2025-10-02 14:18:00-04:00
14:19:00,82,2025-10-02 14:19:00-04:00
14:20:00,92,2025-10-02 14:20:00-04:00
14:21:00,111,2025-10-02 14:21:00-04:00
14:22:00,122,2025-10-02 14:22:00-04:00
14:23:00,113,2025-10-02 14:23:00-04:00
14:24:00,110,2025-10-02 14:24:00-04:00
14:25:00,113,2025-10-02 14:25:00-04:00
14:26:00,113,2025-10-02 14:26:00-04:00
14:27:00,111,2025-10-02 14:27:00-04:00
14:28:00,102,2025-10-02 14:28:00-04:00
14:29:00,104,2025-10-02 14:29:00-04:00
14:30:00,109,2025-10-02 14:30:00-04:00
14:31:00,112,2025-10-02 14:31:00-04:00
14:32:00,112,2025-10-02 14:32:00-04:00
14:33:00,120,2025-10-02 14:33:00-04:00
14:34:00,110,2025-10-02 14:34:00-04:00
14:35:00,106,2025-10-02 14:35:00-04:00
14:36:00,109,2025-10-02 14:36:00-04:00
14:37:00,111,2025-10-02 14:37:00-04:00
14:38:00,111,2025-10-02 14:38:00-04:00
14:39:00,102,2025-10-02 14:39:00-04:00
14:40:00,107,2025-10-02 14:40:00-04:00
14:41:00,109,2025-10-02 14:41:00-04:00
14:42:00,90,2025-10-02 14:42:00-04:00
14:43:00,81,2025-10-02 14:43:00-04:00
14:44:00,92,2025-10-02 14:44:00-04:00
14:45:00,91,2025-10-02 14:45:00-04:00
14:46:00,96,2025-10-02 14:46:00-04:00
14:47:00,72,2025-10-02 14:47:00-04:00
14:48:00,77,2025-10-02 14:48:00-04:00
14:49:00,66,2025-10-02 14:49:00-04:00
14:50:00,59,2025-10-02 14:50:00-04:00
14:51:00,58,2025-10-02 14:51:00-04:00
14:52:00,53,2025-10-02 14:52:00-04:00
14:53:00,52,2025-10-02 14:53:00-04:00
14:54:00,61,2025-10-02 14:54:00-04:00
14:55:00,64,2025-10-02 14:55:00-04:00
14:56:00,56,2025-10-02 14:56:00-04:00
14:57:00,57,2025-10-02 14:57:00-04:00
14:58:00,57,2025-10-02 14:58:00-04:00
14:59:00,57,2025-10-02 14:59:00-04:00
15:00:00,61,2025-10-02 15:00:00-04:00
15:01:00,56,2025-10-02 15:01:00-04:00
15:02:00,56,2025-10-02 15:02:00-04:00
15:03:00,56,2025-10-02 15:03:00-04:00
15:04:00,60,2025-10-02 15:04:00-04:00
15:05:00,58,2025-10-02 15:05:00-04:00
15:06:00,54,2025-10-02 15:06:00-04:00
15:07:00,59,2025-10-02 15:07:00-04:00
